,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
a woman is talking into loudspeakers over a crowd of people and music ,bkkairport01.wav,fm-radio-tuning-sweeps.wav,GORAZD_0075_Omori_Pachinko.wav,trolley car B.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,shopper_atmos.wav,20110212_mercado.05.wav,Portugese Fish Market.wav,"Call to Prayer, Old Dehli.wav",chicago police scanner.wav
when typing keyboard is making a beeping noise ,type writer.wav,Dropping and Putting Down of Keys.wav,Microwave 01.wav,Fan noise.wav,BRITISH PHONE.wav,Squeaking of door handle and rumbling of door.wav,WOF_slots5.wav,telefono_en_espera.wav,Rustling keys.wav,Kitchen Timer Ticking Long.wav
a large truck comes to a stop with its air brakes and then accelerates away ,stoplight.wav,130916 General Paz y Panamericana.wav,Parada de buses UCA_1.wav,Engine Reving.wav,vertrek.wav,Diesel truck and small car.wav,Bus sound.wav,three departures at bus station.wav,Traffic Karl-Liebknechtstrasse 111223.wav,TREIN3.wav
lightning strikes two times with the first being louder ,Thunderstrikes very close.wav,NM-Mejor-Lado-Thunder-01.wav,0808091.wav,fireworkslong2.wav,2016-10-06 Thunder Crack.wav,Thunder Sounds Long.wav,LightningCrash.wav,Torden og lynild 3.wav,rain_villaverde1.wav,Rain &amp; Thunder 1 Clap.wav
the wind is blowing in a tube as it makes some music ,WineGlass.wav,Folds.wav,volcanoeruption.wav,dare16_eerie.wav,Daaaark.wav,Salvation Army Carol (at Sainsbury).wav,thunder wind 02.wav,rutting deer 2.wav,copper-chimes.wav,Mouth Wind Howling.wav
a person is shaking the paint bottle to flow easily ,Dropping Coins into Water.wav,Washing and scrubbing.wav,Waves at the edge of Bosphorus.wav,icesplashes3.wav,erasing 1.wav,water blups.wav,Bats in East Finchley.wav,Wheat ears shaken.wav,Scraping of a Carpet with a Brush.wav,opening and swallowing pills.wav
a person is walking with longer steps in night ,Schritte_BootsTeppich.wav,FootstepsOnaDock.wav,Walking on Wood Floor.wav,foley footsteps walking in room indoors.wav,HeavySkirtMovement.wav,horse in woods 130213_00.wav,Cotton Flapping.wav,20060129.scrub.04.wav,Footsteps on Slushy Cement.wav,Footsteps Dirt 02.wav
series of fingers hitting a desk/table continuously ,playing chess.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,timber.wav,Tortured Apple 02.wav,Ball bouncing.wav,150209 Trevor Webb Snooker.wav,Chalk Writing - Slow.wav,various slap takes.wav,echo_ljubljana_castle.wav,settingdownglassbottle.wav
it is an announcement in railways and it is a woman was announcing ,bkkairport01.wav,UoA_NuLibraryGlassLift_1202.wav,Kurla local train station Mumbai (2).wav,Street scene in Bangkok.wav,24 may 2011.wav,Subway to Namba St. .wav,gaunermarkt_werbung.wav,Kurla local train station Mumbai (1).wav,Tea Garden Outside Ambience.wav,2 Subway Nice Place to Live.wav
a sleigh bell is being shaken so it jingles ,Bell from large rabbit plush.wav,Bell Ring.R.wav,metallic_crackle.wav,cowbells1.wav,templebell.wav,THAI GONG3.wav,bikebell.wav,Bell 6inch away.wav,metal-bowl-long-decay.wav,copper-chimes.wav
people doing welding work at an welding station ,Travers.wav,TREIN3.wav,ambiant hangar sound.wav,sd_coffee3.wav,garbage collection.wav,metro underground  ambient opening closing doors noisy transport catalan spanish barcelona.wav,indoors WC bathroom ambient room tone.wav,In_a_que01.wav,jf Resonant Space.wav,md1trk13.wav
someone is to try to open a iron gate with keys ,closingmyfrondoor.wav,20091226.squeaky.door.wav,Dropping and Putting Down of Keys.wav,ouverture-contenair_1.wav,Squeaking of door handle and rumbling of door.wav,Sound_FX_Kitchen_Kniifes and forks.wav,SOUND1_sodapop_VONT01_1.wav,md3trk14.wav,CR SharktoGnawAmb.wav,20091226.soft.door.wav
someone is playing a video game who takes place in a different world ,satellite receiving busy signal.wav,PipeWork.wav,sweep phrase.wav,Darkness Of the mind.wav,dare16_eerie.wav,rutting deer 2.wav,WOF_slots5.wav,hillden.wav,Bats in East Finchley.wav,Hair Clippers 2.wav
a machine which is cutting an object fast and loud ,Chainsaw_4.wav,Chainsaw_2.wav,25_MIXER.wav,WASHER machine 2.wav,dremmel-noise2.wav,JM_MACHINE_Coffee Machine 01 - Office.wav,kitchen refrigerator working.wav,Chainsaw_1.wav,RC Helicopter Wind Blowing.wav,Interference3.wav
after rain is over the remaining drops of water is falling in the ground ,13_Rain_onGrassStone_Gutter_44_16.wav,BodyDrag2.wav,WATER SHOWER 001.wav,leaves_on_the_wind.wav,Stream trickling with small waterfall close by.wav,Rain 02 091012.wav,Running water 20121021T2335.wav,creek_tyrol_austria.wav,Rain_Patter_01.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav
a person walks through a quiet area that is also populated ,HeavySkirtMovement.wav,Footsteps on Wood floor 1.wav,3 persons walking slowly on grass noisy ambient 2.wav,Covent_Garden_rain_5.wav,Cotton Flapping.wav,Schritte_BootsTeppich.wav,20060129.scrub.04.wav,20091217.20.pedestrians.wav,horse in woods 130213_00.wav,footsteps-gravel-birds.wav
a bell is being rung persistently and a young child is speaking ,templebell.wav,Bell Ring.R.wav,toy_tower.wav,church_bell_song.wav,bikebell.wav,Inside Servaas Church 01 100411.wav,Lisbon&#39;s church.wav,More Bells.wav,20101118.omnium.sanctorum.wav,Bell7.wav
a person is working on the steel parts ,clang_metal_(hit).wav,Metal_Tin_Hit_bang.wav,Metal coat hanger on steel hook.wav,Popcorn Foley.wav,soda can_pop.wav,"Iron gate, street.wav",antique-sawmill-01.wav,Ambience_hurricane tube_low freq.wav,Hammering on Anvil.wav,weights rope.wav
sheep are bleating ceremoniously as a dog barks in the background ,Sheep bleating.wav,20080302.sheeps.close.wav,harbour scene 2.wav,sheep calling her baby lambs.wav,Rural nightfall atmos.wav,5. Apartment ambience inside room.wav,BIG DOGS_Continues Barking Labrador Retriever (SFX).wav,beautiful voiced flock of sheep.wav,Ambience - Pig Pen - Day - 96kHzsssssss.wav,dog howl in woods.wav
a train is passing by while cars drive by ,"Train Passing, Close, Left to Right, B.wav","Train Passing, A.wav",kamakura_train.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav",Train Plan V 090627.wav,Highway Traffic_1-2.wav,Intersection Wet_Metro Pass.wav,Train Mill Hill v1.wav,HarzTrain.wav,three departures at bus station.wav
a loud unadjusted shaving machine that is connected to power source ,RC Helicopter Wind Blowing.wav,WASHER machine 2.wav,25_MIXER.wav,departing_train.wav,newport-hotel-blow-drier.wav,kitchen refrigerator working.wav,Interference3.wav,Coffee Machine - Brew 1.wav,JM_MACHINE_Coffee Machine 01 - Office.wav,dremmel-noise2.wav
a wind up device is wound and then rewound a few times ,different variations of taring material.wav,25_MIXER.wav,RC Helicopter Wind Blowing.wav,dremmel-noise2.wav,150209 Trevor Webb Tire Squeeke.wav,Zipper sounds.wav,fliping paper.wav,cigarette_lighter.wav,electric screwdriver_ST.wav,stretch .wav
someone in an auto repair shop is tightening or loosening lug nuts with an air tool ,Through Slime.wav,Electric Stovetop.wav,contact_mic_coffee_maker.wav,dremmel-noise2.wav,coffee Elite opening.wav,CR SharktoGnawAmb.wav,Stove Full.wav,stretch .wav,Popcorn Foley.wav,Remulada.wav
a crowd of people are chanting and shouting as a car drives past ,Oxford Cambridge boat race 2010.wav,ChurchProcession.wav,wien_demo.wav,Amusement Park.wav,08-Bakken_RacingCars.wav,20100220.concentration.00.wav,Next To School in Street Ambience.wav,times_square.wav,GORAZD_0075_Omori_Pachinko.wav,Datse Match - Bhutan.wav
pieces of metal makes noise as they are being scattered around the floor ,Remove crashed glass.wav,Sound_FX_Kitchen_Kniifes and forks.wav,Wheat ears shaken.wav,Dropping and Putting Down of Keys.wav,"Iron gate, street.wav",PS3F_FOZ_centro_Mufato_carrinhos_tarde.wav,clang_metal_(hit).wav,CR SharktoGnawAmb.wav,nxSample-158.wav,20061214.wrench.01.wav
the oceans waves are hitting the beach and birds are chirping ,Sea&amp;wind.wav,CP_Whipping_Wind_Storm_Medium01.wav,Day 10 10th July acclivity Seaside Town Soundscape.wav,bebops_wind2.wav,Waves near the dock.wav,Pirita Storm waves06.12.2015.wav,Sea Waves Splash the Beach on the Isle of Wight Coast.wav,"Train Passing, Close, Left to Right, B.wav",Waves on to rocks.wav,CFX-20130331-UK-DorsetHarbour02.wav
a wood cutting machine at a mill is continuously running and two cutting strokes takes place ,sd_coffee3.wav,departing_train.wav,newport-hotel-blow-drier.wav,indoors WC bathroom ambient room tone.wav,"Helicopter interior, no rotor.wav",light_waterpipes_ambience1.wav,garbage collection.wav,Chainsaw_4.wav,WasherEndWashCycleStartSpinCycle.wav,Morning Ride 7.wav
a person is starting the machine in the workshop ,Stove Full.wav,indoors WC bathroom ambient room tone.wav,InsideBus.wav,Closing automatic garage door.wav,garbage collection.wav,washing_machine_beginning.wav,vacuuming upholstery.wav,departing_train.wav,ModernSewingMachine.wav,windscreen wipers light rain.wav
the phone is ringing continuously but no one is answering ,telephone ring.wav,Old alarm clock (ticking and ringing).wav,telefono_en_espera.wav,Bell Ring.R.wav,Bell7.wav,sdaviau2.wav,templebell.wav,GobletPing2LHR.wav,KMC_Bell_Ring_01.wav,BRITISH PHONE.wav
a sport car moving longside a siren fitted vehicle ,FIRE ENGINE long approach and drive away.wav,traffic from inside an apartment.wav,DH12_141Tram1.wav,Ambulence - WARNING LOUD.wav,tram_night_crossroad_stop_go_02.wav,Intersection Wet_Metro Pass.wav,Train Passing Grade Crossing.wav,STREET_AMBULANCE_01.wav,F-1-race-cars-restart-1stLap-Turn11-DR081.wav,openingdome.wav
continuous bubbles being blown and popped in a liquid ,water blups.wav,Water_bubbles_stereo_StereoPiezo_44_24.wav,Tap Drip Vox inc reverb.wav,drainage pipe running.wav,gootsteen.wav,Dropping water.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,Dropping Coins into Water.wav,Waves at the edge of Bosphorus.wav,icesplashes3.wav
echoing ambience of people talking continues on as a squeaky door is opened and closed ,begin-metro-BCN.wav,Elevator Ride and Door Open Merchants Bldg.wav,big wooden door open close.wav,door_squeaky.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,entering1.wav,Grocery Shop Atmos.wav,Train Luzern-Engelberg.wav,20061017.apres.lapluie.pigeon.wav,Busy Drug Store.wav
someone is using closing and opening a zip a lot of times ,Gun Handling.wav,Match being lit.wav,CD Case.wav,RKeaton_EMF366_3_Water In Glass Bottle with Metal Cap.wav,turning door lock.wav,bread_in_toaster.wav,fliping paper.wav,Mascara.wav,different variations of taring material.wav,Sliding_Window.wav
rain drops while birds chirp in the background and vehicles drive by ,The Commons.wav,Heavy wind and rain.wav,Car Pass and Horse Twang - CherryGardens.wav,City Street.wav,AMB_Ext_Residential_Day_Stereo_002.wav,street.wav,thunderstorm_4.wav,Small italian village - Quite afternoon.wav,20110823_mountain.01.wav,Rain 02 091012.wav
operating a sewing machine strongly and at a high speed ,RC Helicopter Wind Blowing.wav,stretch .wav,earthkiller background 1.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,Sewing_machine_OWI.wav,Rain on the Window Sill (indoors).wav,refrigerator buzzing.wav,Coffee Machine - Brew 1.wav,newport-hotel-blow-drier.wav,WasherEndWashCycleStartSpinCycle.wav
someone is using a hammer to bang repeatedly on wood ,Ball bouncing.wav,window rapping.wav,timber.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,PaperTossOnDesk.wav,Tortured Apple 02.wav,echo_ljubljana_castle.wav,pukanie1.wav,settingdownglassbottle.wav,Chalk Writing - Slow.wav
some pieces of paper are being ripped up ,Paper_Tear_Fx.wav,Cash Money sounds_fieldtapes.wav,bread_in_toaster.wav,fliping paper.wav,CD Case.wav,Melon Stabs (Juicy).wav,Match being lit.wav,Fire crackling.wav,pepper grinder.wav,envelope.wav
the sound is from the factory by the machine ,ambiant hangar sound.wav,indoors WC bathroom ambient room tone.wav,Daaaark.wav,Apartment Ambiance 2.wav,trainpvoc.wav,radio_am_01.wav,departing_train.wav,"Helicopter interior, no rotor.wav",ambientBell.wav,cart machine.wav
frog is shout it in the water and give one noise ,2_frogs_qinghua.wav,Old metal pail.wav,Night in nature 2.wav,Drinking Water and refreshing sigh.wav,grilla_garden_ambience.wav,Bats in East Finchley.wav,beautiful voiced flock of sheep.wav,tropicbird2.wav,AftershaveSpray.wav,icesplashes3.wav
someone approaching opening a creaky door then shutting the creaky door ,door walking exit.wav,Opening and Closing an old Glass Door.wav,door_squeaky.wav,FX_Closing Sqeezing Wooden Door.wav,big wooden door open close.wav,20091226.squeaky.door.wav,Elevator Ride and Door Open Merchants Bldg.wav,closingmyfrondoor.wav,entering1.wav,20091226.soft.door.wav
people sing and play instruments while others talk and then clap ,ending.applause.wav,20091214.christmas.song.wav,Caporales.wav,Kamp Zeist.wav,ChurchProcession.wav,meeting singing on boat - galilee.wav,BERBER _SONG.wav,wien_demo.wav,applause_and_whistle.wav,20061111Band.wav
a person is scratching something to make a hallow and inconsistent sound ,md1trk13.wav,erasing 1.wav,kettle-watergong2.wav,texting with i-phone.wav,stretch .wav,tile-scrape-flange1.wav,abandoned-ballroom-objects-wood-metal.wav,screenplayTheater__footsteps_leatherSoles-onWood.wav,trolley wheels foley-mg.wav,opening and swallowing pills.wav
machinery is operating in a circular motion and bangs periodically ,Rain on the Window Sill (indoors).wav,"Iron gate, street.wav",METAL LADLE ON CHINA PLATE.wav,static choppy 1400 kHz.wav,commercial vacuum.wav,20061214.wrench.01.wav,wine_glasses_drying_bottom_up (miroslawski.net).wav,"India Train Ride (Train passing by, Voices, Whistle, sounds inside while riding, Train stopping).wav",indoors WC bathroom ambient room tone.wav,arrancada i aturada de la moto.wav
an apartment fire alarm goes off continuously while a child is speaking in the background ,Sound_FX_dishmachine_digital.wav,police motorcycle distance to stop.wav,boxes_falling_down_stairs_01.wav,raindrops on metal_police background.wav,STREET_AMBULANCE_01.wav,Ambulence - WARNING LOUD.wav,Old alarm clock (ticking and ringing).wav,vendedor_ambulante.wav,FIRE ENGINE long approach and drive away.wav,sortdemo_qb45_insert.wav
a metal drum makes sound as its being hit with metal ,20061111Band.wav,BERBER _SONG.wav,clunks_in_water.wav,Hammering_Empty tank_large_CLOSE.wav,kettle-watergong2.wav,THAI GONG3.wav,Stiff Metal Wire.wav,water jugs.wav,Heavy Trash Hit.wav,contact_mic_on_satellite_dish09.wav
something makes a faint tapping sound as a jet aircraft passes overhead ,airliner_ascend.wav,Underground Parking Ambience.wav,Tornado Left To  Right.wav,hillden.wav,2009-07-23_1554_Serralves Park Airplane flying by.wav,spaced.wav,Landing Jet 3.wav,5_Navy-Blue-Angels-jets_CLIP.wav,airshow_2.wav,glassgnissel1.wav
an engine is running as three vehicles pass by ,traffic at green light.wav,tata_hungary__ady_endre_road_20080718.wav,city_traffic_day.wav,Crossroads with traffic lights #1.wav,car coming 1.wav,traffic_night_street.wav,Diesel truck and small car.wav,three departures at bus station.wav,car_pass_02_070812.wav,german motorway or the autobahn.wav
it is like ambulance siren and it is moving fast ,Synthetic rumble with rising tone.wav,ambientBell.wav,Synth Wind.wav,police motorcycle distance to stop.wav,Ambulence - WARNING LOUD.wav,sdaviau2.wav,PlanetaryAndXporterSingleLoop_STTOS_recreated.wav,FIRE ENGINE long approach and drive away.wav,diesellocomotive.wav,Daaaark.wav
a instrumental sound for a short time and a person is speaking ,Scratching Hair.wav,acent.wav,Robot Overlords Monologue.wav,Street Interview.wav,CFX-20130329-UK-DorsetRoomTone03.wav,Street Interview - shorter version.wav,gaunermarkt_werbung.wav,fly 1 sands_05.wav,Guitar Center employees self-recording 24 bit.wav,Outside Library.wav
the insects makes noisy sound mostly at night ,August night.wav,Night in nature 2.wav,Cicada_00410.wav,FR.CTC.08.CoyuyoS.006.wav,Cicada 1.wav,Vieques night soundscape 10-10-10.wav,greece_naxos_cicadas_6.wav,Crickets Night 2.wav,high park crickets.3.wav,20110903_cycadas.n.wind.06.wav
crickets are chirping at different levels of volume ,August night.wav,Night in nature 2.wav,Cicada_00410.wav,greece_naxos_cicadas_6.wav,Crickets Night 2.wav,20060426.marsh.crikets.bee-eaters.stereo.wav,20060804.marshes.cricket02.wav,Vieques night soundscape 10-10-10.wav,2_frogs_qinghua.wav,Cicada 1.wav
crickets are awake and being loud with their sounds while some cars drive past ,Crickets Night 2.wav,high park crickets.3.wav,August night.wav,hereg_hungary__car_passing_by_1_20080712.wav,Cicada 1.wav,Night in nature 2.wav,hereg_hungary__car_passing_by_2_20080712.wav,Cricket2.wav,"Insects in the herbs of the plain, thunders in background.wav",Cicada_00410.wav
someone is walking and birds are singing faintly ,Ambience - Freerange Birds - 96kHzsdasd.wav,20060510.walk.scrub.wav,Spring Birds in Finnish forest.wav,160170_warm afternoon_OWI.wav,footsteps in woods.wav,WALKING IN A CAVE.wav,In an English Suburban Garden.wav,footsteps-gravel-birds.wav,20060607.bird.gone.nuts.wav,Buzzbees.wav
clanging of metallic objects against themselves and then being put down ,"Iron gate, street.wav",toy_tower.wav,Sound_FX_Kitchen_Kniifes and forks.wav,Ambience_hurricane tube_low freq.wav,clang_metal_(hit).wav,Coming into a hospital in saturday.wav,object falls on wood.wav,PS3F_FOZ_centro_Mufato_carrinhos_tarde.wav,CR SharktoGnawAmb.wav,clunks_in_water.wav
a animal is playing some sound in the forest ,Old metal pail.wav,single bird.wav,thebit2.wav,Ripples.wav,AftershaveSpray.wav,Cat Meow and Purr.wav,Clark&#39;s Nutcrackers 01.wav,Bats in East Finchley.wav,Sheep bleating.wav,grilla_garden_ambience.wav
a car is approaching and screeching it's tires and a woman laughs ,20100220.concentration.00.wav,Parada de buses UCA_1.wav,grilla_garden_ambience.wav,VillageLaughter1.wav,train_coming_in.wav,tram turn.wav,Subway to Namba St. .wav,City Traffic (Outdoor).wav,antique-sawmill-01.wav,Traffic Karl-Liebknechtstrasse 111223.wav
heavy rain with thunder and lightning storm environment ,inicio.wav,Storm in the mountain forest of Parc regional des Cevennes_1.wav,20070610.thunder.wav,thunderstorm_4.wav,20100110.rain.marshes.wav,LightningCrash.wav,thunder_nl.wav,20130406_nasty.weather.09.wav,2016-10-06 Thunder Crack.wav,Rain falling and thunder clapping in a storm.wav
low dragged out growl that pauses and comes back in a lower and longer tone ,Before-After Remix of 53263__stomachache__pterodactyl.wav,Robot Overlords Monologue.wav,Vocal Strain - Unprocessed.wav,97315__Robinhood76__01706_wounded_jungle_animal_Before-After.wav,Street Interview.wav,Cat Meow and Purr.wav,zippers02.wav,elvis_radio_announcer_no_static.wav,Street Interview - shorter version.wav,stretch .wav
geese are honking ever louder then fading away ,Canada geese.wav,ship horn.wav,city pond ducks yell.wav,sirenaWAV.wav,23_train_jallandhar.wav,Train Passing Grade Crossing.wav,Conrose Park - Middle of Site.wav,COUNTRY-farm-yard.wav,sheep calling her baby lambs.wav,Metropassingclose(L-R).wav
a woman is trembling and falling of the wooden sounds well ,boxes_falling_down_stairs_01.wav,foley noisy chair moving standing up different speed.wav,Footsteps on Hard Floor.wav,platform.wav,Fly Spray 4X Slow.wav,150209 Trevor Webb Snooker.wav,ABC&#39;s (long version).wav,echo_ljubljana_castle.wav,timber.wav,fireworkslong2.wav
a slow sound becomes faster and faster at the end ,Gong mf2.wav,Interference3.wav,Tap Drip Vox inc reverb.wav,THAI GONG3.wav,Space danger.wav,Klangschale weich ff.wav,novasound7100.wav,Folds.wav,Hammering_Empty tank_large_CLOSE.wav,KMC_Bell_Ring_01.wav
heavy rainfall as someone walks through puddles of water ,Footsteps on Slushy Cement.wav,footsteps_pebble_each_01.wav,White Water.wav,WATER SHOWER 001.wav,3 persons walking slowly on grass noisy ambient 2.wav,20130406_nasty.weather.09.wav,washing_out_5_gallon_bucket.wav,20100110.rain.marshes.wav,gravel walking.wav,20060129.scrub.04.wav
a lawnmower or other tractor device being used outside ,ATV foley &amp; drive in woods - Reverberant [ST].wav,TAMPER_0332.wav,reenactment4.wav,Morning Ride 7.wav,Rain on the Window Sill (indoors).wav,engine boat passing by.wav,RC Helicopter Wind Blowing.wav,City Traffic (Outdoor).wav,arrancada i aturada de la moto.wav,Motor bikes passing by.wav
walking in the path and it is rain in the area ,20100110.rain.marshes.wav,20060129.scrub.04.wav,Footsteps on Slushy Cement.wav,the sound of melting snow on the path high in the mountains - front.wav,footsteps in woods.wav,3 persons walking slowly on grass noisy ambient 2.wav,horse in woods 130213_00.wav,Cotton Flapping.wav,footsteps-gravel-birds.wav,leaves_on_the_wind.wav
convenience store door opening bell rings and the bell echo continues for a while and dies out ,Elevator Arrives.wav,openingdome.wav,tram turn.wav,More Bells.wav,THAI GONG3.wav,mono_bell_0_D_16sec.wav,church bell_ljubljana.wav,Klangschale weich ff.wav,templebell.wav,20101118.omnium.sanctorum.wav
a person is trying to taking the rusting bucket ,Pills .wav,Smoke.wav,plastic foil (outdoor recording).wav,Blinds being opened and closed quickly and slowly.wav,light.wav,nxSample015.wav,Stones sound.wav,Opening and Closing Curtains - Slow.wav,Pushing Trolley.wav,Rain on the Window Sill (indoors).wav
wind chymes being hit by wind making a beautiful melody ,copper-chimes.wav,ambientBell.wav,Windchimes + Neighborhood Mutt.wav,metallic_crackle.wav,bright_wind.wav,Day 10 10th July acclivity Seaside Town Soundscape.wav,after nine.wav,"Insects in the herbs of the plain, thunders in background.wav",Synth Wind.wav,volcanoeruption.wav
a printer beeps and then proceeds to start running ,md3trk7.wav,Microwave 01.wav,Fan noise.wav,Getting Into Car and Driving Away.wav,Stove Full.wav,BRITISH PHONE.wav,telefono_en_espera.wav,Machine.wav,washing_machine_beginning.wav,radio_am_01.wav
someone is frantically knocking on a door and the knocks get louder ,pukanie1.wav,window rapping.wav,Door pounding - increasing intensity.wav,timber.wav,door knocks.wav,fist bang 2.wav,boxes_falling_down_stairs_01.wav,door walking exit.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,Chalk Writing - Slow.wav
some people are speak very loudly in public place and made one energy at a time ,korea_flohmarkt.wav,Portugese Fish Market.wav,Busy Dining Room Atmos.wav,Bar atmosphere - Not So Busy.wav,In_a_que01.wav,Datse Match - Bhutan.wav,ChurchProcession.wav,Letter B BINGO in Arlington Heights.wav,Ambience outside a series of restaurants.wav,fly 1 sands_05.wav
emptying a liquid from one vessel to another then throwing the container a way ,Filling up a large container with water.wav,gootsteen.wav,Draining Kitchen Sink by Fajack.wav,Waves at the edge of Bosphorus.wav,Water plopping in pulling out small object.wav,icesplashes3.wav,20110903_splashing.walk.wav,Washing and scrubbing.wav,WATER DRIP 2 ECHO LOW PITCH.wav,Plastic Rain Barrel long.wav
three times a loud sound is audible at a regular interval ,sdaviau2.wav,GobletPing2LHR.wav,Synthetic rumble with rising tone.wav,KMC_Bell_Ring_01.wav,More Bells.wav,Hammering_Empty tank_large_CLOSE.wav,97315__Robinhood76__01706_wounded_jungle_animal_Before-After.wav,Klangschale weich ff.wav,metal-bowl-long-decay.wav,mono_bell_0_D_16sec.wav
someone opens a squeaky wooden door and then pressed a button that makes a beeping sound ,big wooden door open close.wav,Opening and Closing an old Glass Door.wav,closingmyfrondoor.wav,Sound_FX_dishmachine_digital.wav,20091226.squeaky.door.wav,door_squeaky.wav,20091226.soft.door.wav,Getting Into Car and Driving Away.wav,creaky-door-11.wav,Elevator Arrives.wav
a machine echoing in a basement and then fading out ,Daaaark.wav,"wind, basement, dripping water.wav",radio_am_01.wav,ambiant hangar sound.wav,Gong mf2.wav,Klangschale weich ff.wav,sdaviau2.wav,diesellocomotive.wav,Space danger.wav,Industrial fan.wav
peoples making noises in a mega super market ,jf Resonant Space.wav,SR005F.wav,metro underground  ambient opening closing doors noisy transport catalan spanish barcelona.wav,Ambience outside a series of restaurants.wav,indoors house ambient living room tone distant neighbours and traffic.wav,In_a_que01.wav,Tea Garden Outside Ambience.wav,times_square.wav,16 coffee shop ambience.wav,museum2.wav
a machine buzzing that gets slightly louder over time ,JM_MACHINE_Coffee Machine 01 - Office.wav,Coffee Machine - Brew 1.wav,kitchen refrigerator working.wav,bitmapnoise3.wav,Interference3.wav,RC Helicopter Wind Blowing.wav,refrigerator buzzing.wav,Espresso Machine.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,sdaviau2.wav
a food item is unwrapped from a cellophane wrapper and then eaten ,AlexandreJourdan_2013_s2.wav,Paper_Tear_Fx.wav,coffee Elite opening.wav,pepper grinder.wav,Plastic bag crumple.wav,fliping paper.wav,160170_Gravel_OWI.wav,Pills .wav,Smoke.wav,Pecan nuts cracked open.wav
a person is pressing flush after using the toilet ,Toilet 2.wav,FLUSH .wav,"Toilet flushing, water filling bowl.wav",Toilet Flush Krucifix Productions Sound Effects.wav,Shower Turn on - Turn off.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,Blinds being opened and closed quickly and slowly.wav,Machine.wav,Dropping water.wav,erasing 1.wav
a person is doing work with tools that makes this sound ,md1trk13.wav,Metal coat hanger on steel hook.wav,Metal_Tin_Hit_bang.wav,dremmel-noise2.wav,Knife hit on Bread Board.wav,various slap takes.wav,clang_metal_(hit).wav,Popcorn Foley.wav,Hammering on Anvil.wav,Mascara.wav
a stationary vehicle sounds its horn near bystanders ,train-station-Rajasthan.wav,ship horn.wav,23_train_jallandhar.wav,20100220.concentration.00.wav,Traffic Karl-Liebknechtstrasse 111223.wav,Parada de buses UCA_1.wav,Amusement Park.wav,Cityscape 02 100208.wav,Train Passing Grade Crossing.wav,130916 General Paz y Panamericana.wav
a drum is hit loudly water splashes softly people talk and then the stick rolls on the floor ,water jugs.wav,20061111Band.wav,BERBER _SONG.wav,Caporales.wav,Heavy Trash Hit.wav,safe deposit box lock-unlock.wav,inside an old factory under recustruction.wav,abandoned-ballroom-objects-wood-metal.wav,boxes_falling_down_stairs_01.wav,Achter de Stekke .wav
papers are being stapled together in groups in a rhythm ,Cash Money sounds_fieldtapes.wav,CD Case.wav,Booklet_-_Leaf_through_02_L_Close_R_Distant.wav,Fire crackling.wav,bread_in_toaster.wav,fliping paper.wav,Paper_Tear_Fx.wav,Drawers.wav,light.wav,DVD Cases.wav
a man is yelling with an echoing voice while cars honk and a whistle blows ,Datse Match - Bhutan.wav,Oxford Cambridge boat race 2010.wav,train-station-Rajasthan.wav,20100220.concentration.00.wav,cape taxi radio.wav,public transport soliciting passengers.wav,02-BikeDemo_Chimes_Speak.wav,Parada de buses UCA_1.wav,vendedor_ambulante.wav,23_train_jallandhar.wav
a tractor or other outside device is consistently running and picking up something ,Rain on the Window Sill (indoors).wav,arrancada i aturada de la moto.wav,Small tractor.wav,rios_barney_geo_fonia_contra_el_viento.wav,Closing automatic garage door.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,engine boat passing by.wav,Talll Grass Hits 2.wav,reenactment4.wav,Morning Ride 7.wav
lots of cars are driving on a busy road ,german motorway or the autobahn.wav,AMB_Ext_Night_Residential_001.wav,traffic_night_street.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",Japan_Yukinoura_Bamboo_Forest_and_Road_.wav,Highway Traffic_1-2.wav,car coming 1.wav,city_traffic_day.wav,tata_hungary__ady_endre_road_20080718.wav,Car Fly by.wav
people are talking when a loud bang happens when people quite and then two people talk ,Achter de Stekke .wav,inside an old factory under recustruction.wav,begin-metro-BCN.wav,Covent_Garden_rain_5.wav,Travers.wav,Ferry boat.wav,Train Luzern-Engelberg.wav,Quiet Chat.wav,Zag.canon.eda.wav,Amusement Park.wav
